,Time,Team 1 Belief,Draw,Team 2 Belief,Sport,id,Sportsbook,Team 1,Team 2
2442995,2021-09-25 09:52:41,0.24,0.56,0.25,Bundesliga - Germany,3cb19e7144537f628afcff2a579d8304,TwinSpires,Eintracht Frankfurt,FC Koln
350311,2021-09-18 22:43:37,0.03,0.93,0.09,MLS,46be89d905efab641337def8259a2aa3,Barstool Sportsbook,FC Dallas,Houston Dynamo
1069331,2021-09-07 22:29:51,0.94,,0.11,MLB,2a1df5c054ce2ae71f963be75942cd02,DraftKings,Los Angeles Dodgers,St. Louis Cardinals
1505993,2021-09-18 13:06:11,0.11,,0.95,NCAAF,b619435b73af330e31f739a5c4fa8dea,Bovada,Nebraska Cornhuskers,Oklahoma Sooners
1349280,2021-11-10 19:44:07,0.61,,0.45,NCAAF,a496d017511eac3896e6a5f88dc78eda,SugarHouse,Ball State Cardinals,Northern Illinois Huskies
1413112,2021-09-25 15:54:05,0.82,,0.24,NCAAF,fb6699cbf63926db1adf45a90bebc707,DraftKings,Utah Utes,Washington State Cougars
548010,2021-09-11 22:29:32,0.7,,0.36,MLB,44799e7f8e7cd18cb892311c09bc1248,MyBookie.ag,Baltimore Orioles,Toronto Blue Jays
36477,2021-09-13 14:19:23,0.05,0.82,0.2,Allsvenskan - Sweden,665a1f9fa88bcf80b58304c7731f96d4,Bovada,BK Hacken,IF Elfsborg
150065,2021-12-04 21:43:30,0.09,,0.96,NCAAB,b3361d45f540f01c3d71b6097759b8f7,DraftKings,Middle Tennessee Blue Raiders,Murray St Racers
1153893,2021-09-23 14:57:42,0.27,0.23,0.56,La Liga - Spain,7a2104925aaf4ec9187095a5ec5e011e,William Hill (US),CA Osasuna,Real Betis
2251751,2021-09-19 14:28:43,0.12,0.75,0.23,Eliteserien - Norway,393ea97eea1ab7a7a84c2df358602025,PointsBet (US),SK Brann,Tromso
524822,2021-09-22 23:10:15,0.26,,0.8,MLB,fbb49526c2ba8ea851745ac9e24f1fc3,FOX Bet,San Diego Padres,San Francisco Giants
850192,2021-09-23 14:39:41,0.88,,0.18,MLB,ac944178f4fbc454d99dcb48ca6f612a,FOX Bet,Milwaukee Brewers,St. Louis Cardinals
2241280,2021-09-18 12:50:32,0.22,0.26,0.53,Ligue 1 - France,f6065803a63978c14a3aad737890c17b,Betfair,Lille,RC Lens
1569883,2021-09-22 12:37:52,0.72,0.14,0.23,Serie A - Italy,e26438ad0a267144f00801f1c5871606,PointsBet (US),Juventus,Spezia
1353440,2021-09-18 12:02:29,0.66,,0.38,NCAAF,ebd1c85a342df5e05aaa4eeee4258277,PointsBet (US),Cincinnati Bearcats,Indiana Hoosiers
858035,2021-09-22 21:50:24,0.13,,0.92,MLB,a820e7432452cd7775985bc5253922c3,Unibet,Chicago Cubs,Minnesota Twins
206808,2021-09-25 11:03:06,0.32,0.4,0.44,League 1,f7ed70be47bfa4eae8c58e5165792128,FOX Bet,AFC Wimbledon,Shrewsbury Town
2317437,2021-09-12 08:19:30,0.52,0.2,0.35,Belgium First Div,bb5241a92fad4f2c67e1e98ac66b7cf4,Unibet,Anderlecht,KV Mechelen
356104,2021-09-12 23:54:10,0.87,0.04,0.15,MLS,a645efb128b79e4119adefcc04e73dbe,SugarHouse,Los Angeles FC,Real Salt Lake
2333718,2021-12-04 16:35:03,0.97,0.0,0.07,Belgium First Div,8584945d3fd434beb4d00df1b93fe688,Unibet,Club Brugge,Seraing United
1026239,2021-09-18 18:06:28,0.5,,0.55,MLB,8e00a9e2df9c0dce118d6a1316237aba,PointsBet (US),Detroit Tigers,Tampa Bay Rays
212923,2021-09-11 10:25:54,0.02,0.99,0.04,League 1,bc54b48d82e1a17c17dd6987d06db6f6,PointsBet (US),Cambridge United,Lincoln City
1419032,2021-09-25 12:39:31,0.44,,0.62,NCAAF,961d97733ca375a1b6e1f3832526c823,SugarHouse,Boston College Eagles,Missouri Tigers
2383841,2021-09-19 17:24:21,0.02,0.99,0.03,Primeira Liga - Portugal,457f578baf4042b5bf4beff8d1f419ad,FanDuel,Estoril,Sporting Lisbon
898039,2021-09-19 16:03:59,0.71,,0.35,MLB,8ee40e61fba0ec1512753438bd15aea4,Bovada,Arizona Diamondbacks,Houston Astros
1981263,2021-09-19 13:14:37,0.37,,0.68,NFL,07a60de53489a87b44040da4d246587f,Unibet,Las Vegas Raiders,Pittsburgh Steelers
